mha,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,W-1,W-2,W-3,W-4,W-5,O-1E,O-2E,O-3E,O-1,O-2,O-3,O-4,O-5,O-6,O-7
AK400,1377,1377,1377,1377,1638,1647,1725,1902,2001,1665,1899,2010,2202,2331,1827,1977,2169,1644,1785,2046,2307,2385,2517,2547
AK401,1455,1455,1455,1455,1725,1734,1779,2004,2109,1737,2001,2118,2307,2394,1929,2085,2283,1731,1866,2157,2376,2427,2514,2544
AK402,1509,1509,1509,1509,1851,1860,1866,2097,2232,1863,2094,2244,2460,2487,2004,2202,2451,1857,1923,2292,2478,2490,2517,2547
AK403,1380,1380,1380,1380,1725,1734,1809,1926,2067,1737,1923,2073,2316,2442,1833,2031,2283,1731,1812,2121,2418,2517,2622,2658
AK404,1383,1383,1383,1383,1683,1692,1788,1920,2034,1695,1917,2046,2268,2418,1836,2010,2229,1689,1791,2088,2391,2484,2637,2670
AK405,1203,1203,1203,1203,1491,1500,1575,1677,1797,1503,1671,1800,2004,2127,1596,1758,1971,1497,1578,1836,2103,2181,2304,2334
AL001,771,771,771,771,876,939,960,993,1041,957,990,1047,1137,1173,966,1029,1128,936,963,1065,1161,1179,1212,1218
AL002,903,903,903,903,972,1020,1083,1176,1317,1074,1167,1320,1347,1446,1152,1242,1344,1017,1131,1323,1443,1569,1674,1689
AL003,1140,1140,1140,1140,1272,1416,1440,1608,1710,1428,1605,1722,1887,1893,1533,1689,1884,1344,1503,1758,1890,1896,1899,1905
AL004,1104,1104,1104,1104,1227,1311,1437,1608,1647,1398,1605,1650,1749,1869,1572,1638,1719,1296,1530,1668,1845,1917,2037,2058
AL005,1005,1005,1005,1005,1110,1173,1218,1281,1287,1215,1278,1290,1308,1335,1266,1284,1299,1170,1251,1293,1323,1389,1395,1404
AL006,954,954,954,954,1077,1152,1215,1329,1491,1206,1290,1494,1515,1596,1281,1416,1512,1149,1263,1497,1593,1698,1917,1935
AL007,1140,1140,1140,1140,1317,1422,1497,1611,1644,1482,1608,1650,1716,1731,1578,1638,1713,1416,1554,1665,1722,1734,1740,1755
AR010,1146,1146,1146,1146,1320,1443,1527,1626,1632,1509,1623,1635,1644,1650,1617,1629,1641,1434,1590,1638,1647,1653,1656,1665
AR012,651,651,651,651,732,996,1014,1032,1077,1011,1023,1092,1332,1353,1020,1044,1326,780,1017,1143,1344,1356,1377,1386
AR411,819,819,819,819,912,1035,1116,1239,1332,1065,1236,1335,1404,1521,1197,1275,1377,984,1164,1338,1518,1707,1719,1734
AZ013,1461,1461,1461,1461,1602,1698,1836,2028,2085,1791,2025,2094,2196,2205,1980,2073,2193,1683,1932,2115,2199,2208,2211,2232
AZ014,960,960,960,960,1062,1233,1251,1389,1482,1248,1386,1494,1647,1659,1320,1461,1641,1122,1290,1527,1650,1662,1665,1674
AZ015,1119,1119,1119,1119,1257,1419,1497,1722,1782,1434,1719,1788,1893,1899,1674,1770,1890,1305,1614,1812,1896,1902,1905,1914
AZ016,906,906,906,906,1041,1122,1206,1338,1389,1185,1335,1395,1497,1542,1293,1377,1485,1113,1266,1416,1530,1554,1599,1611
CA018,2433,2433,2433,2433,2706,2862,2985,3225,3381,2949,3222,3399,3651,3693,3117,3348,3642,2850,3075,3453,3681,3705,3744,3801
CA019,3261,3261,3261,3261,3597,3951,4368,4824,4842,4191,4821,4845,4914,5007,4797,4839,4890,3894,4647,4857,4989,5064,5136,5220
CA021,849,849,849,849,948,1062,1110,1203,1278,1077,1200,1287,1428,1494,1143,1263,1413,1005,1122,1317,1479,1521,1578,1593
CA022,1308,1308,1308,1308,1449,1545,1692,1875,1905,1644,1872,1908,1995,2106,1842,1899,1965,1530,1794,1923,2082,2151,2262,2289
CA023,1296,1296,1296,1296,1527,1653,1704,1803,1854,1701,1800,1860,1953,1971,1758,1842,1947,1650,1743,1881,1962,1974,1989,2010
CA024,2118,2118,2118,2118,2352,2502,2697,2967,3060,2625,2964,3069,3234,3303,2898,3039,3216,2478,2832,3102,3288,3330,3399,3450
CA025,2274,2274,2274,2274,2610,2802,2928,3087,3099,2889,3084,3102,3156,3240,3063,3096,3135,2787,3021,3108,3222,3270,3354,3402
CA026,1752,1752,1752,1752,1968,2088,2109,2175,2277,2106,2172,2289,2466,2508,2115,2256,2454,2085,2112,2328,2496,2520,2559,2592
CA027,2514,2514,2514,2514,2859,3039,3084,3177,3234,3081,3174,3240,3372,3504,3126,3222,3339,3036,3114,3264,3480,3558,3690,3747
CA028,1179,1179,1179,1179,1302,1383,1476,1623,1677,1452,1620,1683,1803,1884,1575,1665,1779,1374,1542,1707,1866,1917,2001,2022
CA031,1962,1962,1962,1962,2205,2361,2577,2856,2925,2496,2853,2931,3048,3054,2802,2910,3045,2334,2727,2958,3051,3057,3060,3090
CA032,1146,1146,1146,1146,1227,1287,1371,1518,1584,1353,1515,1593,1731,1830,1461,1569,1707,1278,1434,1620,1812,1869,1968,1989
CA033,1983,1983,1983,1983,2181,2301,2424,2607,2673,2385,2604,2679,2793,2799,2553,2658,2790,2289,2511,2703,2796,2802,2805,2829
CA034,1947,1947,1947,1947,2133,2259,2445,2673,2706,2376,2670,2709,2775,2787,2640,2700,2772,2235,2574,2724,2778,2790,2793,2826
CA035,1521,1521,1521,1521,1737,1857,1917,2016,2052,1908,2013,2055,2136,2190,1980,2043,2121,1851,1962,2070,2175,2205,2259,2286
CA036,2112,2112,2112,2112,2454,2640,2724,2841,2865,2703,2838,2868,2922,2928,2811,2859,2919,2631,2784,2880,2925,2931,2934,2961
CA037,2349,2349,2349,2349,2691,2886,3027,3261,3384,2979,3258,3396,3603,3648,3171,3357,3591,2868,3123,3441,3636,3660,3705,3762
CA038,2016,2016,2016,2016,2319,2499,2682,2949,3060,2616,2946,3072,3255,3294,2871,3036,3246,2478,2808,3111,3282,3303,3342,3390
CA039,2001,2001,2001,2001,2310,2523,2670,2925,3072,2622,2922,3087,3375,3618,2823,3039,3312,2508,2772,3138,3579,3732,3978,4041
CA041,2037,2037,2037,2037,2199,2301,2418,2577,2613,2382,2574,2619,2697,2724,2538,2607,2688,2289,2499,2637,2715,2727,2754,2790
CA042,1014,1014,1014,1014,1182,1398,1506,1623,1758,1410,1554,1761,1896,2040,1530,1674,1860,1275,1509,1764,2013,2103,2247,2274
CA044,2697,2697,2697,2697,3039,3243,3465,3801,3960,3378,3798,3975,4242,4329,3693,3924,4218,3213,3615,4029,4311,4371,4452,4521
CA392,1722,1722,1722,1722,1944,2082,2244,2487,2583,2187,2484,2592,2790,2958,2412,2562,2748,2061,2358,2628,2928,3030,3198,3243
CA393,1164,1164,1164,1164,1287,1704,1722,1824,1992,1719,1821,2010,2271,2277,1728,1956,2268,1389,1725,2067,2274,2280,2283,2298
CA420,1179,1179,1179,1179,1314,1392,1419,1446,1458,1416,1443,1461,1521,1629,1425,1455,1494,1389,1422,1470,1608,1671,1776,1794
CA457,1548,1548,1548,1548,1722,1836,1986,2187,2229,1935,2184,2235,2340,2442,2145,2220,2313,1818,2094,2253,2421,2481,2583,2616
CO045,1596,1596,1596,1596,1779,1908,2136,2400,2418,2049,2397,2421,2478,2517,2373,2415,2466,1878,2292,2433,2505,2526,2562,2595
CO046,1605,1605,1605,1605,1806,1917,1983,2067,2073,1974,2064,2076,2103,2190,2052,2070,2082,1914,2034,2079,2172,2223,2307,2334
CO047,1410,1410,1410,1410,1524,1608,1770,1962,1977,1713,1959,1980,2040,2127,1935,1974,2019,1590,1881,1989,2109,2160,2244,2271
CO422,1578,1578,1578,1578,1806,2016,2139,2325,2460,2037,2322,2475,2727,2889,2232,2430,2685,1926,2184,2523,2859,2958,3123,3165
CT049,1437,1437,1437,1437,1542,1671,1698,1884,2013,1686,1881,2025,2229,2244,1791,1983,2226,1605,1764,2070,2235,2247,2250,2277
CT050,1530,1530,1530,1530,1800,1986,2037,2133,2172,2034,2130,2175,2283,2418,2094,2163,2247,1983,2079,2193,2391,2475,2610,2646
CT051,2082,2082,2082,2082,2379,2541,2631,2820,2946,2610,2817,2961,3162,3168,2727,2919,3159,2532,2697,3003,3165,3171,3174,3207
DC053,1905,1905,1905,1905,2175,2319,2358,2499,2661,2355,2496,2676,2931,2958,2388,2625,2925,2316,2379,2733,2949,2961,2985,3027
DE054,1350,1350,1350,1350,1503,1590,1635,1698,1707,1632,1695,1710,1749,1818,1680,1704,1731,1587,1668,1713,1800,1842,1908,1929
FL056,1599,1599,1599,1599,1833,1959,1980,1995,2019,1977,1992,2025,2112,2265,1986,2016,2073,1956,1983,2037,2238,2331,2487,2517
FL057,1251,1251,1251,1251,1365,1431,1467,1539,1611,1464,1536,1617,1755,1839,1485,1593,1734,1428,1479,1644,1821,1872,1956,1977
FL058,1437,1437,1437,1437,1572,1650,1710,1809,1836,1704,1806,1842,1917,1986,1776,1830,1899,1647,1758,1854,1971,2013,2082,2106
FL059,1509,1509,1509,1509,1638,1719,1812,1959,2013,1791,1956,2019,2118,2124,1911,2001,2115,1710,1881,2043,2121,2127,2130,2142
FL061,1956,1956,1956,1956,2178,2310,2421,2574,2619,2388,2571,2625,2733,2862,2535,2610,2700,2298,2499,2643,2838,2916,3045,3087
FL062,1497,1497,1497,1497,1668,1773,1875,2022,2061,1845,2019,2067,2145,2151,1983,2052,2142,1761,1947,2085,2148,2154,2157,2169
FL063,1386,1386,1386,1386,1518,1596,1644,1758,1836,1641,1755,1845,1989,2043,1695,1818,1974,1593,1683,1875,2028,2061,2115,2139
FL064,1275,1275,1275,1275,1410,1494,1596,1719,1728,1569,1716,1731,1764,1800,1701,1725,1752,1485,1668,1734,1788,1809,1845,1863
FL065,1230,1230,1230,1230,1335,1401,1443,1494,1500,1440,1491,1503,1545,1695,1479,1497,1518,1398,1470,1506,1668,1761,1914,1935
FL066,1647,1647,1647,1647,1851,1968,2061,2229,2319,2037,2226,2331,2481,2487,2160,2301,2478,1959,2127,2364,2484,2490,2493,2511
FL067,1773,1773,1773,1773,2007,2142,2247,2391,2427,2217,2388,2430,2517,2595,2355,2418,2496,2130,2322,2448,2577,2625,2703,2739
